,m,n,c,contigious,A,runtime,optimal_x,optimal_p,solver
0,10,10,1,False,"[[0 0 1 1 0 0 0 0 1 0]
 [1 1 0 0 1 1 0 0 1 1]
 [0 0 0 1 1 1 1 1 1 1]
 [1 1 1 1 0 1 0 0 0 0]
 [1 1 1 0 1 1 1 1 0 0]
 [0 0 0 0 0 0 0 0 1 0]
 [1 0 0 0 1 0 0 1 1 0]
 [0 0 0 1 0 1 0 0 1 0]
 [0 1 0 0 0 1 0 1 0 1]
 [0 0 1 0 0 1 1 1 0 1]]",0.0023796558380126953,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],7,bruteforce
1,10,10,1,False,"[[0 0 1 1 0 0 0 0 1 0]
 [1 1 0 0 1 1 0 0 1 1]
 [0 0 0 1 1 1 1 1 1 1]
 [1 1 1 1 0 1 0 0 0 0]
 [1 1 1 0 1 1 1 1 0 0]
 [0 0 0 0 0 0 0 0 1 0]
 [1 0 0 0 1 0 0 1 1 0]
 [0 0 0 1 0 1 0 0 1 0]
 [0 1 0 0 0 1 0 1 0 1]
 [0 0 1 0 0 1 1 1 0 1]]",0.580843448638916,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],7.0,mainsolver
2,10,10,1,True,"[[0 0 1 0 0 0 1 1 1 1]
 [0 1 0 1 0 1 1 0 1 1]
 [1 1 1 1 0 1 1 1 0 0]
 [0 0 1 0 0 0 0 0 0 1]
 [0 0 1 1 1 0 0 1 1 0]
 [1 1 0 0 0 1 0 0 0 0]
 [0 1 1 0 0 1 1 0 1 1]
 [1 0 1 0 0 0 1 1 0 1]
 [1 0 1 0 1 1 1 0 0 0]
 [1 0 1 1 1 1 0 0 1 0]]",0.0005249977111816406,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],8,bruteforce
3,10,10,1,True,"[[0 0 1 0 0 0 1 1 1 1]
 [0 1 0 1 0 1 1 0 1 1]
 [1 1 1 1 0 1 1 1 0 0]
 [0 0 1 0 0 0 0 0 0 1]
 [0 0 1 1 1 0 0 1 1 0]
 [1 1 0 0 0 1 0 0 0 0]
 [0 1 1 0 0 1 1 0 1 1]
 [1 0 1 0 0 0 1 1 0 1]
 [1 0 1 0 1 1 1 0 0 0]
 [1 0 1 1 1 1 0 0 1 0]]",0.6435766220092773,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],7.999999999999998,mainsolver
4,10,10,2,False,"[[0 0 1 0 1 0 0 0 0 0]
 [1 1 0 0 0 0 1 1 0 1]
 [0 0 1 0 0 1 0 0 1 1]
 [0 1 0 1 0 1 1 1 0 1]
 [1 0 1 1 1 0 0 1 1 0]
 [1 0 0 1 0 0 1 1 0 1]
 [1 1 0 0 0 0 0 0 1 1]
 [1 1 1 1 0 0 0 0 0 0]
 [0 1 1 0 0 0 1 0 0 1]
 [1 0 1 0 0 1 1 1 0 1]]",0.00069427490234375,[0. 0. 1. 0. 0. 0. 0. 0. 0. 1.],10,bruteforce
5,10,10,2,False,"[[0 0 1 0 1 0 0 0 0 0]
 [1 1 0 0 0 0 1 1 0 1]
 [0 0 1 0 0 1 0 0 1 1]
 [0 1 0 1 0 1 1 1 0 1]
 [1 0 1 1 1 0 0 1 1 0]
 [1 0 0 1 0 0 1 1 0 1]
 [1 1 0 0 0 0 0 0 1 1]
 [1 1 1 1 0 0 0 0 0 0]
 [0 1 1 0 0 0 1 0 0 1]
 [1 0 1 0 0 1 1 1 0 1]]",0.6034970283508301,[0. 0. 1. 0. 0. 0. 0. 0. 0. 1.],10.0,mainsolver
6,10,10,2,True,"[[1 0 0 0 1 0 1 1 0 0]
 [0 1 0 0 1 0 1 1 1 0]
 [0 0 1 0 1 1 1 1 1 1]
 [0 1 0 1 0 0 1 0 0 1]
 [1 1 0 0 1 1 1 0 0 1]
 [0 0 0 0 0 0 0 0 1 0]
 [1 1 1 0 0 1 1 0 0 1]
 [1 1 1 0 0 1 1 0 1 1]
 [1 0 0 0 1 0 0 0 1 0]
 [1 1 1 0 0 0 0 1 0 1]]",0.0004553794860839844,[0. 0. 0. 0. 0. 0. 0. 0. 1. 1.],9,bruteforce
7,10,10,2,True,"[[1 0 0 0 1 0 1 1 0 0]
 [0 1 0 0 1 0 1 1 1 0]
 [0 0 1 0 1 1 1 1 1 1]
 [0 1 0 1 0 0 1 0 0 1]
 [1 1 0 0 1 1 1 0 0 1]
 [0 0 0 0 0 0 0 0 1 0]
 [1 1 1 0 0 1 1 0 0 1]
 [1 1 1 0 0 1 1 0 1 1]
 [1 0 0 0 1 0 0 0 1 0]
 [1 1 1 0 0 0 0 1 0 1]]",0.6086885929107666,[0. 0. 0. 0. 0. 0. 0. 0. 1. 1.],9.0,mainsolver
8,10,10,4,False,"[[0 0 0 0 0 1 0 1 0 1]
 [0 1 0 0 0 1 0 1 1 0]
 [0 0 0 0 1 0 0 0 1 0]
 [0 1 0 0 1 0 0 1 1 1]
 [1 1 1 1 1 0 0 0 1 0]
 [0 1 0 1 1 1 1 1 0 0]
 [1 1 0 0 1 0 0 0 0 1]
 [1 0 0 1 1 1 0 0 0 1]
 [1 0 0 0 1 0 0 1 0 0]
 [0 0 1 1 0 1 0 1 0 1]]",0.0025377273559570312,[1. 1. 0. 0. 1. 1. 0. 0. 0. 0.],10,bruteforce
9,10,10,4,False,"[[0 0 0 0 0 1 0 1 0 1]
 [0 1 0 0 0 1 0 1 1 0]
 [0 0 0 0 1 0 0 0 1 0]
 [0 1 0 0 1 0 0 1 1 1]
 [1 1 1 1 1 0 0 0 1 0]
 [0 1 0 1 1 1 1 1 0 0]
 [1 1 0 0 1 0 0 0 0 1]
 [1 0 0 1 1 1 0 0 0 1]
 [1 0 0 0 1 0 0 1 0 0]
 [0 0 1 1 0 1 0 1 0 1]]",0.5705094337463379,[0. 0. 0. 1. 0. 0. 0. 1. 1. 1.],10.0,mainsolver
10,10,10,4,True,"[[1 1 1 0 0 0 1 0 0 1]
 [0 0 0 1 0 0 1 1 0 0]
 [0 1 1 1 1 0 0 1 1 0]
 [0 0 0 1 1 0 0 1 1 1]
 [1 0 0 0 0 0 0 1 0 0]
 [1 0 0 1 0 1 1 0 1 0]
 [1 0 0 0 0 0 1 1 1 0]
 [0 0 1 1 1 0 1 0 1 1]
 [1 1 1 1 0 1 0 1 0 0]
 [1 0 0 1 0 0 1 1 1 1]]",0.0004076957702636719,[1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],10,bruteforce
11,10,10,4,True,"[[1 1 1 0 0 0 1 0 0 1]
 [0 0 0 1 0 0 1 1 0 0]
 [0 1 1 1 1 0 0 1 1 0]
 [0 0 0 1 1 0 0 1 1 1]
 [1 0 0 0 0 0 0 1 0 0]
 [1 0 0 1 0 1 1 0 1 0]
 [1 0 0 0 0 0 1 1 1 0]
 [0 0 1 1 1 0 1 0 1 1]
 [1 1 1 1 0 1 0 1 0 0]
 [1 0 0 1 0 0 1 1 1 1]]",0.601935625076294,[0. 0. 0. 0. 1. 1. 1. 1. 0. 0.],10.0,mainsolver
12,10,10,8,False,"[[1 0 1 0 0 0 1 0 0 1]
 [0 0 0 1 0 0 1 1 1 1]
 [1 1 1 1 0 0 0 1 0 1]
 [0 0 1 0 1 1 0 1 0 1]
 [0 0 0 0 0 0 0 1 1 1]
 [1 1 1 0 1 1 1 1 0 0]
 [1 0 1 1 1 0 1 0 0 1]
 [1 0 1 0 1 1 0 0 0 0]
 [0 1 1 1 1 0 1 1 0 0]
 [1 0 0 0 0 1 0 0 0 1]]",0.0007102489471435547,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0.],10,bruteforce
13,10,10,8,False,"[[1 0 1 0 0 0 1 0 0 1]
 [0 0 0 1 0 0 1 1 1 1]
 [1 1 1 1 0 0 0 1 0 1]
 [0 0 1 0 1 1 0 1 0 1]
 [0 0 0 0 0 0 0 1 1 1]
 [1 1 1 0 1 1 1 1 0 0]
 [1 0 1 1 1 0 1 0 0 1]
 [1 0 1 0 1 1 0 0 0 0]
 [0 1 1 1 1 0 1 1 0 0]
 [1 0 0 0 0 1 0 0 0 1]]",0.5741682052612305,[1. 1. 1. 0. 1. 1. 1. 1. 1. 0.],10.0,mainsolver
14,10,10,8,True,"[[1 1 1 1 1 1 1 1 0 1]
 [1 1 1 0 0 0 1 1 0 1]
 [0 1 0 1 0 1 1 1 1 1]
 [0 0 0 1 0 0 1 1 0 1]
 [1 1 0 1 1 0 0 1 1 1]
 [0 0 1 1 1 0 0 1 1 1]
 [1 0 1 1 1 1 0 1 1 0]
 [0 0 0 0 1 0 0 1 1 1]
 [0 0 0 0 1 0 1 0 1 0]
 [1 0 0 0 0 0 0 1 1 1]]",0.00029349327087402344,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0.],10,bruteforce
15,10,10,8,True,"[[1 1 1 1 1 1 1 1 0 1]
 [1 1 1 0 0 0 1 1 0 1]
 [0 1 0 1 0 1 1 1 1 1]
 [0 0 0 1 0 0 1 1 0 1]
 [1 1 0 1 1 0 0 1 1 1]
 [0 0 1 1 1 0 0 1 1 1]
 [1 0 1 1 1 1 0 1 1 0]
 [0 0 0 0 1 0 0 1 1 1]
 [0 0 0 0 1 0 1 0 1 0]
 [1 0 0 0 0 0 0 1 1 1]]",0.6637880802154541,[0. 1. 1. 1. 1. 1. 1. 1. 1. 0.],10.0,mainsolver
16,10,20,1,False,"[[1 0 0 1 0 0 0 1 1 1 1 0 0 1 0 0 0 1 0 1]
 [0 0 1 0 0 0 1 0 0 0 1 1 0 0 1 0 1 1 1 0]
 [1 1 0 0 0 0 0 1 1 1 0 1 1 1 0 1 0 1 1 0]
 [0 1 0 0 0 1 0 0 0 1 1 0 0 1 0 1 1 1 0 0]
 [1 1 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1 0 1 0]
 [1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1]
 [1 0 0 1 1 0 0 0 1 1 1 0 0 0 1 0 0 0 1 0]
 [1 1 0 0 1 1 1 0 0 0 0 0 0 0 1 0 1 0 1 1]
 [0 1 0 0 1 1 0 1 1 0 0 1 1 1 1 0 1 1 0 0]
 [1 0 1 0 1 0 1 1 0 0 0 1 1 1 1 1 1 1 0 0]]",0.0004355907440185547,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],7,bruteforce
